Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011113,Rye Lane,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05011113,Rye Lane,16,White: Roma,2,L3: Higher professional occupations,1
E05011113,Rye Lane,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3
E05011113,Rye Lane,16,White: Roma,4,L7: Intermediate occupations,0
E05011113,Rye Lane,16,White: Roma,5,L8 and L9: Small employers and own account workers,1
E05011113,Rye Lane,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,2
E05011113,Rye Lane,16,White: Roma,7,L12: Semi-routine occupations,1
E05011113,Rye Lane,16,White: Roma,8,L13: Routine occupations,3
E05011113,Rye Lane,16,White: Roma,9,L14.1: Never worked,0
E05011113,Rye Lane,16,White: Roma,10,L14.2: Long-term unemployed,1
E05011113,Rye Lane,16,White: Roma,11,L15: Full-time students,3
E05011113,Rye Lane,17,White: Other White,-8,Does not apply,126
E05011113,Rye Lane,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,70
E05011113,Rye Lane,17,White: Other White,2,L3: Higher professional occupations,239
E05011113,Rye Lane,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",336
E05011113,Rye Lane,17,White: Other White,4,L7: Intermediate occupations,77
E05011113,Rye Lane,17,White: Other White,5,L8 and L9: Small employers and own account workers,159
E05011113,Rye Lane,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,47
E05011113,Rye Lane,17,White: Other White,7,L12: Semi-routine occupations,63
E05011113,Rye Lane,17,White: Other White,8,L13: Routine occupations,142
E05011113,Rye Lane,17,White: Other White,9,L14.1: Never worked,42
E05011113,Rye Lane,17,White: Other White,10,L14.2: Long-term unemployed,8
E05011113,Rye Lane,17,White: Other White,11,L15: Full-time students,71
E05011113,Rye Lane,18,Other ethnic group: Arab,-8,Does not apply,11
E05011113,Rye Lane,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05011113,Rye Lane,18,Other ethnic group: Arab,2,L3: Higher professional occupations,6
E05011113,Rye Lane,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",12
E05011113,Rye Lane,18,Other ethnic group: Arab,4,L7: Intermediate occupations,5
E05011113,Rye Lane,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,6
