Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,0
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,6
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,2
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,2
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,3
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,0
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,5
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,1
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,3
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,53
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,8
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",16
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,7
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,6
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,1
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,4
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,2
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,5
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,2
E05013573,Ickenham & South Harefield,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,8
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,79
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,13
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,14
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",22
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,15
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,4
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,1
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,7
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,3
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,2
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,3
E05013573,Ickenham & South Harefield,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,17
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,1451
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,472
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,843
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2026
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,1184
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,828
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,369
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,619
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,515
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,316
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,40
E05013573,Ickenham & South Harefield,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,323
E05013573,Ickenham & South Harefield,14,White: Irish,-8,Does not apply,10
E05013573,Ickenham & South Harefield,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,20
E05013573,Ickenham & South Harefield,14,White: Irish,2,L3: Higher professional occupations,36
E05013573,Ickenham & South Harefield,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",88
E05013573,Ickenham & South Harefield,14,White: Irish,4,L7: Intermediate occupations,50
E05013573,Ickenham & South Harefield,14,White: Irish,5,L8 and L9: Small employers and own account workers,46
E05013573,Ickenham & South Harefield,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,11
E05013573,Ickenham & South Harefield,14,White: Irish,7,L12: Semi-routine occupations,22
E05013573,Ickenham & South Harefield,14,White: Irish,8,L13: Routine occupations,24
E05013573,Ickenham & South Harefield,14,White: Irish,9,L14.1: Never worked,22
E05013573,Ickenham & South Harefield,14,White: Irish,10,L14.2: Long-term unemployed,1
E05013573,Ickenham & South Harefield,14,White: Irish,11,L15: Full-time students,2
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,-8,Does not apply,2
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,1
E05013573,Ickenham & South Harefield,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,0
