"ID","ses","ethnic","district_id","frac_homos","frac_homoe"
"ah8048",3,3,"Brent 028C",0.482820976491863,0.11754068716094
"am15612",2,3,"Brent 019B",0.380182002022245,0.599595551061679
"wm21201",2,1,"Brent 032D",0.26523777628935,0.790354989953114
"wl11298",1,1,"Brent 016A",0.225268176400477,0.454112038140644
"wm21352",2,1,"Brent 033E",0.300561797752809,0.616104868913858
"wm16639",2,1,"Brent 018E",0.326638477801268,0.719873150105708
"bm5819",2,2,"Brent 002E",0.427433628318584,0.170796460176991
"wm4268",2,1,"Brent 011A",0.413972888425443,0.602711157455683
"am19275",2,3,"Brent 019E",0.315789473684211,0.633150039277298
"am20645",2,3,"Brent 017G",0.357707509881423,0.545454545454545
"ah6082",3,3,"Brent 031F",0.37648927720413,0.158856235107228
"wl6495",1,1,"Brent 025D",0.448179271708683,0.319327731092437
"bm3208",2,2,"Brent 033A",0.32626427406199,0.149265905383361
"ah12886",3,3,"Brent 032B",0.55960516324981,0.0751708428246014
"bl8914",1,2,"Brent 009E",0.252927400468384,0.133489461358314
"ah3308",3,3,"Brent 023C",0.482625482625483,0.0974903474903475
"bm9282",2,2,"Brent 017F",0.284237726098191,0.204134366925065
"wl9275",1,1,"Brent 034B",0.314481576692374,0.608397600685518
"wl13171",1,1,"Brent 033F",0.205907906168549,0.682884448305821
"wh22119",3,1,"Brent 032C",0.57344398340249,0.843153526970954
"wh24522",3,1,"Brent 032E",0.5,0.721052631578947
"wl11624",1,1,"Brent 007A",0.206783369803063,0.389496717724289
"wl4836",1,1,"Brent 002B",0.251724137931034,0.529885057471264
"am12504",2,3,"Brent 001B",0.37159372419488,0.682080924855491
"wm6102",2,1,"Brent 018C",0.379600420609884,0.564668769716088
"am17988",2,3,"Brent 005E",0.446503791069924,0.456613310867734
"wm27904",2,1,"Brent 014F",0.425252525252525,0.454545454545455
"ah15351",3,3,"Brent 021C",0.207988980716253,0.258953168044077
"bl4758",1,2,"Brent 034C",0.379939209726444,0.453900709219858
