Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,27
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",13
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",35
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,L7: Intermediate occupations,14
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L8 and L9: Small employers and own account workers,14
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L10 and L11: Lower supervisory and technical occupations,6
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L12: Semi-routine occupations,16
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L13: Routine occupations,15
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L14.1 and L14.2: Never worked and long-term unemployed,16
E05013967,Beam Park,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L15: Full-time students,12
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,45
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",7
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,L7: Intermediate occupations,6
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L8 and L9: Small employers and own account workers,4
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L10 and L11: Lower supervisory and technical occupations,1
E05013967,Beam Park,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L12: Semi-routine occupations,5
