Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,0
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,3
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,3
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,1
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,5
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,0
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,0
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,2
E05014053,Abbey (Barking and Dagenham),12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,2
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,62
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,24
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",71
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,48
E05014053,Abbey (Barking and Dagenham),13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,82
