Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,99
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,14
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,86
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,119
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,7
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,35
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",60
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,39
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,36
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,13
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,41
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,28
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,40
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,7
E05011245,Hainault,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,33
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,278
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,26
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,72
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",171
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,63
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,50
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,28
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,67
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,48
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,63
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,24
E05011245,Hainault,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,122
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,89
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,17
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,36
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",106
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,51
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,30
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,20
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,40
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,35
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,32
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,15
E05011245,Hainault,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,30
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,70
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,5
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,14
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,7
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,5
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,4
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,10
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,9
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,3
E05011245,Hainault,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,34
E05011245,Hainault,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,83
E05011245,Hainault,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05011245,Hainault,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,5
E05011245,Hainault,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",22
E05011245,Hainault,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,11
