original_11;recoded_11
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;mixed_other_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;mixed_other_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_other_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_other_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_indian_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_indian_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;asian_indian_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;asian_indian_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;asian_indian_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;asian_indian_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Indian - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;asian_indian_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_pakistani_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_pakistani_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;asian_pakistani_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;asian_pakistani_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;asian_pakistani_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;asian_pakistani_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Pakistani - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;asian_pakistani_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_bangladeshi_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_bangladeshi_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;asian_bangladeshi_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;asian_bangladeshi_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;asian_bangladeshi_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;asian_bangladeshi_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Bangladeshi - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;asian_bangladeshi_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_chinese_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_chinese_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;asian_chinese_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;asian_chinese_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;asian_chinese_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;asian_chinese_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Chinese - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;asian_chinese_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_other_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";asian_other_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;asian_other_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;asian_other_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;asian_other_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;asian_other_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British\ Other Asian - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;asian_other_sc7
