Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,60
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",113
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,86
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,101
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,36
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,130
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,90
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,197
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,23
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,157
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,29
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",1,L1 and L2: Large employers and higher managerial and administrative occupations,40
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",2,L3: Higher professional occupations,245
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",147
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",4,L7: Intermediate occupations,54
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",5,L8 and L9: Small employers and own account workers,26
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",6,L10 and L11: Lower supervisory and technical occupations,6
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",7,L12: Semi-routine occupations,24
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",8,L13: Routine occupations,9
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",9,L14.1: Never worked,32
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",10,L14.2: Long-term unemployed,14
E05013924,Stratford,2,"Asian, Asian British or Asian Welsh: Chinese",11,L15: Full-time students,271
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,105
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",1,L1 and L2: Large employers and higher managerial and administrative occupations,57
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",2,L3: Higher professional occupations,274
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",157
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",4,L7: Intermediate occupations,73
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",5,L8 and L9: Small employers and own account workers,38
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",6,L10 and L11: Lower supervisory and technical occupations,17
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",7,L12: Semi-routine occupations,50
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",8,L13: Routine occupations,30
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",9,L14.1: Never worked,54
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",10,L14.2: Long-term unemployed,15
E05013924,Stratford,3,"Asian, Asian British or Asian Welsh: Indian",11,L15: Full-time students,179
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,122
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",1,L1 and L2: Large employers and higher managerial and administrative occupations,12
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",2,L3: Higher professional occupations,48
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",51
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,22
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,32
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,8
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,46
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,28
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,75
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,17
E05013924,Stratford,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,53
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,58
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,31
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,90
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",127
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,30
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,17
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,29
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,36
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,34
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,28
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,7
E05013924,Stratford,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,75
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,329
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,21
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,147
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",236
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,142
E05013924,Stratford,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,95
