Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,70
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,28
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,119
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,84
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,95
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,20
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,229
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,37
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,15
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",45
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,22
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,17
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,15
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,31
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,32
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,24
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,9
E05009317,Bethnal Green,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,36
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,81
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,2
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,7
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",39
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,20
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,12
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,14
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,14
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,18
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,18
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,8
E05009317,Bethnal Green,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,39
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,92
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,33
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",40
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,7
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,9
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,6
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,5
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,4
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,7
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,2
E05009317,Bethnal Green,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,80
