Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",2,L3: Higher professional occupations,80
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",43
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",4,L7: Intermediate occupations,13
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",5,L8 and L9: Small employers and own account workers,21
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",6,L10 and L11: Lower supervisory and technical occupations,4
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",7,L12: Semi-routine occupations,12
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",8,L13: Routine occupations,10
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",9,L14.1: Never worked,22
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",10,L14.2: Long-term unemployed,3
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",11,L15: Full-time students,70
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,16
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",2,L3: Higher professional occupations,16
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,2
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,11
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,2
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,2
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,9
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,7
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,0
E05009377,Hoxton East & Shoreditch,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,14
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,56
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,28
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,47
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",56
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,13
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,27
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,12
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,34
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,32
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,36
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,3
E05009377,Hoxton East & Shoreditch,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,43
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,291
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,26
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,59
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",171
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,104
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,73
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,54
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,141
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,151
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,81
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,20
E05009377,Hoxton East & Shoreditch,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,153
E05009377,Hoxton East & Shoreditch,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,97
